mean,median,std,variance,min,max,amplitude,skewness,kurtosis,energy,rms,mean_abs_diff,var_diff,autocorr_lag1,shannon_entropy,shannon_entropy_norm,unique_symbols,idioma,nome_idioma,length
123.4579420970266,106.0,440.5915466568059,194120.91098543638,10.0,8221.0,8211.0,18.192553883624388,331.23717412776904,1070262503.0,457.5617711875296,76.72490706319702,393120.0940739531,-0.012367789776772671,3.1816936487121197,0.7464068943691128,71,fi,Finlandês,5112
112.21122740247384,103.0,276.0904916317719,76225.9595694735,10.0,8217.0,8207.0,24.608136735727562,705.471829463741,466735012.0,298.02234668669263,52.518081461743435,131773.88271890007,0.1357982750507421,3.3869228561380287,0.719163634452168,111,fr,Francês,5255
114.51953433307024,101.0,443.113495687503,196349.57006039878,10.0,8217.0,8207.0,18.08921619558553,327.75795052153296,1061565041.0,457.67269287588266,81.67692914939806,392969.92004265403,-0.0004930001848225499,3.3025874815850673,0.7453676447302502,84,fr,Francês,5068
115.29163808217089,101.0,466.3668551854566,217498.04361557265,10.0,8221.0,8211.0,17.18335453288575,295.5307553770254,3027736705.0,480.40629203544256,86.45296539106572,434354.9138554727,0.0015497957151104907,3.474067320697881,0.7720476142811837,90,fr,Francês,13119
100.83238691991384,101.0,280.65827907774644,78769.0696148822,10.0,8217.0,8207.0,28.358807411648137,816.6125476474292,454197377.0,298.22179643153083,51.788484136310224,159097.1817026243,-0.009699975300223651,3.3263498203817976,0.7467648118007203,86,fr,Francês,5107
99.20232108317215,101.0,229.11093592783945,52491.820961730555,10.0,8217.0,8207.0,34.41461508962929,1216.3844145442606,322261204.0,249.66561931915925,47.634552137744244,104395.64652332886,0.005792176789676055,3.2396127520588833,0.7331363675673012,83,fr,Francês,5170
354.27481542247745,103.0,2900.3651195056996,8412117.826445311,10.0,52264.0,52254.0,12.151977747781185,155.53246762479526,41629476426.0,2921.92205085761,205.35076923076923,5077536.915330607,0.6982623299294012,3.3109737052191237,0.7057617103521813,109,fr,Francês,4876
112.54973913043479,101.0,416.3023314589924,173307.6311781928,10.0,8217.0,8207.0,19.246178862100273,371.69928975519,1069356681.0,431.2482753084605,76.24265089580797,345535.19098099327,0.0032889492646926703,3.3513443736083803,0.7485129023064013,88,fr,Francês,5750
95.08837209302325,101.0,199.69637694652093,39878.64296556697,10.0,8217.0,8207.0,39.11595831757877,1587.8386683808162,252429478.0,221.179658813527,42.726691219228535,79294.24088101868,0.005996512442164422,3.3553777049366764,0.7679180112064288,79,fr,Francês,5160
95.03616540353677,101.0,191.409272662924,36637.509661349584,10.0,8217.0,8207.0,40.634985119752336,1721.1667568221137,343479425.0,213.70395971052568,41.633909574468085,72735.5325758085,0.007494263028559804,3.3970297356284833,0.7425670717977951,97,fr,Francês,7521
95.3183275447502,103.0,138.23511743555122,19108.947692420636,10.0,8217.0,8207.0,54.18839029221518,3180.4293348222664,211064261.0,167.91227250665426,39.05905143620574,37910.36699550961,0.008178663489988188,3.276449756363641,0.7435122531115869,82,fr,Francês,7486
87.44795609386829,99.0,117.2169765228088,13739.819585148713,10.0,8217.0,8207.0,63.13333086257337,4375.701752739301,113008721.0,146.24282755111045,27.81279575998486,26343.325163886082,0.041529762204984555,3.447173790074196,0.7959792301241717,76,fr,Francês,5284
92.4913306058835,101.0,38.64302819822542,1493.283628328845,10.0,339.0,329.0,0.4892365118311414,3.1840974661226342,51576024.0,100.23936285499667,34.22505845674201,2613.322079904246,0.12513207475837596,3.3227272761384015,0.7499130356745546,84,fr,Francês,5133
96.02976639035418,103.0,162.148350001967,26292.087408360396,10.0,8217.0,8207.0,47.33697967806751,2367.7389746452714,282760903.0,188.45106378406675,40.559351840221076,52213.65116461403,0.007169997353102937,3.242621575507634,0.7279678390221077,86,fr,Francês,7962
120.13807580174927,101.0,473.2273520282484,223944.12670766772,10.0,8217.0,8207.0,16.921946397782204,286.4560350270073,2044085210.0,488.23896194897696,90.14765570328902,451619.11988163914,-0.008213152693799656,3.3206072399657667,0.7308808693031061,94,fr,Francês,8575
256.50870467976364,105.0,1991.725815419931,3966971.7238101894,10.0,39286.0,39276.0,13.575831156026881,196.3052555896024,25249163199.0,2008.1754005531188,186.7290734824281,3047345.7428065003,0.615971264422804,3.2474299868206393,0.6795032585999038,119,fr,Francês,6261
97.50982409217158,101.0,205.4811013379999,42222.483007077375,10.0,8217.0,8207.0,38.03537388698024,1499.3007329301956,502873637.0,227.44372667005706,45.99434156378601,85086.24762712959,-0.00749100903686884,3.280646411631575,0.7365044064684592,86,fr,Francês,9721
122.07591093117409,103.0,484.0847433786191,234338.03877194354,10.0,8217.0,8207.0,16.559267376189958,273.90064211828656,1477498080.0,499.2399891851808,91.41859288004049,470012.58611748606,-0.0026830742130982393,3.2882968748876173,0.7482842010792877,81,fr,Francês,5928
134.34229734921246,103.0,573.9731889838802,329445.221672325,10.0,8230.0,8220.0,13.954457918176566,193.56647324137623,1809048946.0,589.4854319908077,115.66685878962537,660550.0806703817,-0.0023275525721892978,3.156368718952625,0.7162627210508449,82,fr,Francês,5206
