idioma,nome_idioma,energy_mean,energy_variance,energy_min,energy_max,energy_amplitude,spectral_skewness,spectral_kurtosis,mean_interband_diff,var_interband_diff,spectral_entropy,spectral_entropy_norm,effective_scales,spectral_flatness,energy_cdf_50,energy_cdf_80,length
ca,Catalão,2.0816681711721685e-17,0.8189099859269868,0.10246584414159196,0.9022039795461215,0.9030666614781883,0.9990236750462718,0.9986673546667347,0.793825622530794,0.8181146560518384,0.150217943995275,0.15021794399527497,0.031855844230416513,0.09097125928496912,0.0,0.0,0.0617091445997599
ca,Catalão,1.3877787807814457e-17,0.00105585656035615,0.6954226669553235,0.0034371326118690926,0.008600561052562246,0.2615302640807465,0.14080363731156723,0.14674686861510178,0.0019628301286972864,0.994802782540802,0.9948027825408018,0.9841851090725413,0.9820246182413892,0.7142857142857142,0.8333333333333334,0.050435358567111455
ca,Catalão,1.3877787807814457e-17,0.19602018528138307,0.0049592496489535565,0.2977369690173095,0.3167840648775823,0.5519375749921291,0.3179362536202028,0.40406822611259824,0.04644872699674957,0.5197955544064178,0.5197955544064177,0.2049362035880905,0.07614528340955788,0.047619047619047616,0.13333333333333333,0.003670534987373922
ca,Catalão,1.3877787807814457e-17,0.5575328809964718,0.09598854779839266,0.7371988555248445,0.7424049091653532,0.9880762900537046,0.9835054043876982,0.6971281099323041,0.4922678196194636,0.344366156447219,0.3443661564472189,0.10001033792037121,0.1832739180462269,0.0,0.13333333333333333,0.01584125626129794
ca,Catalão,1.3877787807814457e-17,0.05857316447089067,0.06622266097214176,0.2119954776645395,0.23130817117676947,0.858817500263537,0.8132041286315659,0.6302130169241202,0.06590008735154486,0.8666929228301209,0.8666929228301207,0.6609544061715377,0.6963813232775464,0.5238095238095237,0.7666666666666666,0.010073272709710368
ca,Catalão,1.0408340855860843e-17,0.011849665413636759,0.670096733152408,0.08474302331903866,0.08864494570090417,0.8620829549626636,0.8157889072437375,0.22971972071115282,0.011955226140045877,0.9678482521658717,0.9678482521658717,0.9058764432026634,0.9286244893350115,0.6190476190476191,0.8,0.12742000027598008
ca,Catalão,2.0816681711721685e-17,0.2251451598507991,0.08842096810584993,0.45676090343859543,0.46924280141584634,0.9715724832553846,0.961296428687159,0.6819580092094752,0.22222564379936732,0.6655269494119738,0.6655269494119737,0.34326120211557964,0.47154163853980074,0.14285714285714285,0.6666666666666666,0.01028025776538935
ca,Catalão,1.3877787807814457e-17,0.03644741593568137,0.0751729940055271,0.14909498232823337,0.16971152748306081,0.690952540551834,0.5926490983299546,0.5670215192008772,0.049168324904192214,0.8957724695170911,0.8957724695170909,0.724176213318777,0.7210377795839936,0.6190476190476191,0.8,0.015372090135092248
ca,Catalão,2.0816681711721685e-17,0.043621860821922195,0.1052398559610397,0.07842512226398765,0.09988999274490118,0.2728038862224084,0.07743315921833346,0.23042157655884743,0.00996355841119686,0.8284425489989805,0.8284425489989803,0.5855045971970585,0.4881563697744225,0.23809523809523808,0.4,0.0231547282286219
ca,Catalão,1.3877787807814457e-17,0.879598069855363,0.10385414944326118,0.9362674689245308,0.9362319339516787,0.9999712287652194,0.9999611246460869,0.7865228662749058,0.876940159416978,0.10622167329445176,0.10622167329445173,0.021052213741743903,0.0754771851307383,0.0,0.0,0.01099780595840981
