idioma,nome_idioma,mean,median,std,variance,min,max,amplitude,skewness,kurtosis,energy,rms,mean_abs_diff,var_diff,autocorr_lag1,shannon_entropy,shannon_entropy_norm,unique_symbols,length
ar,Árabe,0.46663315357426605,0.5239864864864865,0.16020113485200183,0.027579870887863407,1.0,0.06348944591029024,0.06348944591029024,0.010370450901236063,0.00038056067677512363,0.03224488720848736,0.3404741984276351,0.3210904562474062,0.03935382068860066,0.3096602632767158,0.7221592519589992,0.765705988715911,0.292517006802721,0.013329837585726312
ar,Árabe,0.45335645877551095,0.522972972972973,0.16335765045207523,0.028631589121045666,1.0,0.011739854253046864,0.011739854253046864,0.009301207943108115,0.00013572957821309724,0.0271078390588212,0.33436472073391876,0.31216408429481135,0.03728533473758085,0.37875218584236225,0.7435324540075898,0.7623362326366112,0.3469387755102041,0.0030771778277608464
ar,Árabe,0.4677607403548171,0.5236486486486487,0.15793760113719904,0.02683777874171141,1.0,0.011739854253046864,0.011739854253046864,0.007540742076104079,0.0001762085898296145,0.03388660018098097,0.340069561639717,0.331185276287184,0.03958216542444023,0.28308146515141025,0.7188463842205521,0.7873478344420528,0.24489795918367346,0.01752473471415364
ar,Árabe,0.4831287939559389,0.5239864864864865,0.15399958856519705,0.025570788225569255,1.0,0.06359938434476693,0.06359938434476693,0.01040259112002849,0.000610428753963549,0.06232781431992954,0.34722613297128235,0.324558230093587,0.03999657212735888,0.23365721441134946,0.6867210883249171,0.7844991393328302,0.19047619047619052,0.0812899308669914
ar,Árabe,0.4538130463832093,0.5239864864864865,0.1701451223895478,0.030959637898983556,1.0,0.06359938434476693,0.06359938434476693,0.01790261796367323,0.0007878107442674937,0.033183212291127605,0.33797492534748574,0.3341654930061408,0.04367589590846772,0.31865128939136655,0.7493483631394715,0.7715133818653772,0.3401360544217687,0.016751990506285452
ar,Árabe,0.4744916121718198,0.5239864864864865,0.16575645705713365,0.029443982994712625,1.0,0.06359938434476693,0.06359938434476693,0.02080611691785487,0.0012360028738057677,0.029042844101176787,0.34762326995514975,0.3465421826610827,0.046336345881781676,0.2282761992944445,0.7108787450228466,0.7605823586075073,0.27891156462585037,0.002787398749810266
ar,Árabe,0.47852280048344975,0.5239864864864865,0.15324834728180753,0.025332561353739586,1.0,0.011739854253046864,0.011739854253046864,0.006169290849542795,0.00021155288382295812,0.038233893541892335,0.34419829235418553,0.3296422757207351,0.03940285422080105,0.2384459570588242,0.6885597465489686,0.7952683970104977,0.17687074829931976,0.026066318011839548
ar,Árabe,0.43571327749325045,0.522972972972973,0.17751305475448953,0.03358959112311607,1.0,0.06352085689156929,0.06352085689156929,0.020239841934574707,0.000780355596505355,0.02671569156219891,0.3316403920871509,0.31315209331511373,0.041740588860899326,0.4118284483607402,0.7842631876312147,0.7698121440324892,0.42857142857142855,0.003132373842608574
ar,Árabe,0.46984553401382717,0.5239864864864865,0.22651012289126596,0.053801293313443396,1.0,0.23827585123759265,0.23827585123759265,0.15136177524168365,0.033848028301617046,0.0402694845679014,0.3777184824132828,0.3533885293288711,0.06613755209545635,0.41932779491984795,0.7200143254380591,0.7534556520584788,0.31292517006802717,0.015441085153651918
ar,Árabe,0.48998508319270895,0.5246621621621622,0.3384904171276174,0.11776374832952273,1.0,0.31831888428194494,0.31831888428194494,0.1929428342360727,0.035902406712430994,0.052655496094065335,0.46215765714816864,0.3667040728187094,0.12283065313121706,0.5227700413421614,0.7239814921755401,0.7576415021434599,0.31292517006802717,0.006623521781727371
